,DATE,HIGH,LOW,PREV. CLOSE,CLOSE,OPEN,VWAP,NO OF TRADES
2,31/12/2018,298.25,295.5,294.8,295.9,297.2,296.5,81758
3,01/01/2019,300.7,293.85,295.9,299.6,297.5,296.77,69723
4,02/01/2019,302.5,293.1,299.6,293.9,299.1,298.2,162196
5,03/01/2019,295.55,290.1,293.9,291.1,295.0,292.87,110626
6,04/01/2019,299.0,291.5,291.1,297.65,292.1,296.18,142962
7,07/01/2019,301.5,295.2,297.65,296.3,301.05,298.25,113554
8,08/01/2019,306.0,294.75,296.3,305.3,295.8,301.96,161941
9,09/01/2019,307.1,300.75,305.3,305.3,306.0,304.37,153567
10,10/01/2019,307.5,303.5,305.3,305.55,305.1,305.6,105369
11,11/01/2019,306.2,300.95,305.55,302.75,305.4,303.57,113356
12,14/01/2019,303.6,299.55,302.75,300.4,301.0,301.15,96381
13,15/01/2019,303.6,301.1,300.4,301.65,302.0,302.2,63046
14,16/01/2019,306.65,302.1,301.65,303.15,303.0,304.5,78064
15,17/01/2019,304.35,295.6,303.15,297.4,303.9,298.93,98812
16,18/01/2019,299.85,294.25,297.4,294.95,298.75,297.21,84248
17,21/01/2019,296.75,291.45,294.95,292.45,295.9,294.06,78580
18,22/01/2019,293.0,288.2,292.45,290.25,293.0,290.18,105223
19,23/01/2019,292.95,285.5,290.25,286.65,290.45,289.24,86994
20,24/01/2019,289.9,285.5,286.65,288.05,286.65,287.7,77968
21,25/01/2019,291.0,283.2,288.05,285.4,289.6,288.24,81514
22,28/01/2019,286.6,277.3,285.4,281.6,285.65,281.3,128898
23,29/01/2019,286.0,276.55,281.6,280.6,281.0,282.25,118187
24,30/01/2019,289.4,280.25,280.6,287.45,281.2,285.36,143925
25,31/01/2019,294.8,288.0,287.45,293.65,290.0,291.77,172059
26,01/02/2019,302.7,282.0,293.65,284.4,296.9,291.96,371608
27,04/02/2019,285.2,277.85,284.4,283.95,282.4,282.0,165027
28,05/02/2019,287.0,283.0,283.95,284.65,284.2,285.21,109065
29,06/02/2019,289.75,283.5,284.65,289.05,285.85,286.98,115663
30,07/02/2019,294.0,286.6,289.05,287.4,289.4,290.17,137834
31,08/02/2019,288.0,282.2,287.4,286.0,285.6,285.03,110716
32,11/02/2019,285.95,280.0,286.0,280.5,285.95,282.05,119512
33,12/02/2019,282.2,274.65,280.5,275.4,280.65,279.25,107018
34,13/02/2019,276.7,266.7,275.4,268.2,276.5,271.46,127592
35,14/02/2019,268.35,263.65,268.2,267.1,268.0,266.33,177357
36,15/02/2019,268.85,261.3,267.1,262.95,268.85,264.01,158152
37,18/02/2019,265.5,258.8,262.95,259.95,264.4,262.46,128502
38,20/02/2019,268.3,264.3,262.9,267.7,264.5,266.29,134477
39,21/02/2019,271.0,267.3,267.7,268.0,270.3,269.15,102689
40,22/02/2019,271.9,267.6,268.0,270.95,267.9,270.17,93599
41,25/02/2019,271.4,267.9,270.95,270.15,271.3,269.49,179172
42,26/02/2019,268.2,263.25,270.15,266.35,266.8,265.93,113275
43,27/02/2019,272.7,266.55,266.35,267.65,268.0,269.18,162785
44,28/02/2019,270.8,267.65,267.65,269.05,267.7,269.19,140073
45,01/03/2019,274.6,270.1,269.05,272.95,270.55,272.87,103387
46,05/03/2019,277.85,271.2,272.95,276.45,271.7,275.82,181828
47,06/03/2019,282.55,276.45,276.45,278.1,277.3,279.31,135192
48,07/03/2019,282.5,277.65,278.1,281.75,279.45,280.16,100561
49,08/03/2019,284.25,279.6,281.75,281.2,281.85,282.38,132214
50,11/03/2019,289.0,283.5,281.2,287.35,285.3,287.26,133900
51,12/03/2019,289.9,285.75,287.35,286.9,289.2,287.68,152809
52,13/03/2019,294.4,284.7,286.9,293.15,288.1,288.93,129887
53,14/03/2019,294.7,290.75,293.15,291.9,294.5,292.34,121789
54,15/03/2019,301.3,292.5,291.9,298.4,292.6,298.17,195292
55,18/03/2019,300.9,294.65,298.4,298.95,298.9,297.45,135389
56,19/03/2019,306.6,299.15,298.95,303.05,300.15,303.41,192468
57,20/03/2019,304.65,300.05,303.05,303.8,302.8,302.61,129192
58,22/03/2019,306.4,296.95,303.8,298.05,304.3,302.13,114776
59,25/03/2019,295.45,292.2,298.05,294.0,294.0,293.78,82455
60,26/03/2019,305.0,294.75,294.0,303.5,294.75,299.7,106963
61,27/03/2019,310.85,304.35,303.5,308.8,305.25,308.12,237634
62,28/03/2019,339.65,309.05,308.8,319.0,310.1,315.18,269672
63,29/03/2019,323.0,316.25,319.0,320.75,321.1,319.43,195107
64,01/04/2019,327.65,321.05,320.75,322.75,321.8,324.12,152113
65,02/04/2019,331.0,322.1,322.75,329.0,323.65,327.03,190698
66,03/04/2019,332.45,319.5,329.0,320.5,331.0,326.0,190240
67,04/04/2019,325.75,318.3,320.5,321.8,321.5,321.68,198067
68,05/04/2019,323.7,315.0,321.8,317.05,323.7,317.84,155709
69,08/04/2019,319.25,311.1,317.05,312.8,318.25,314.81,133027
70,09/04/2019,315.7,308.1,312.8,314.75,313.95,311.8,183556
71,10/04/2019,317.05,310.0,314.75,310.9,314.85,313.54,141121
72,11/04/2019,315.4,308.7,310.9,314.9,311.0,312.15,128498
73,12/04/2019,316.4,311.2,314.9,315.25,314.6,313.85,93648
74,15/04/2019,318.7,313.75,315.25,315.6,315.5,316.65,90118
75,16/04/2019,319.4,314.7,315.6,315.75,316.6,316.8,121950
76,18/04/2019,315.8,308.05,315.75,310.8,315.8,310.88,104414
77,22/04/2019,312.3,306.35,310.8,310.05,308.8,309.37,122903
78,23/04/2019,313.75,304.6,310.05,305.25,310.05,309.75,154431
79,24/04/2019,311.95,303.6,305.25,310.75,305.85,306.84,100240
80,25/04/2019,312.0,305.4,310.75,306.2,311.0,307.6,112779
81,26/04/2019,313.5,306.6,306.2,312.5,306.9,310.08,101049
82,30/04/2019,312.0,305.0,312.5,309.95,312.0,308.0,119413
83,02/05/2019,311.4,305.65,309.95,308.15,308.05,308.36,115380
84,03/05/2019,311.8,308.8,308.15,310.0,309.0,310.33,128941
85,06/05/2019,310.3,305.9,310.0,308.75,306.8,308.38,75642
86,07/05/2019,313.4,303.75,308.75,305.45,310.7,310.07,112752
87,08/05/2019,305.3,296.75,305.45,298.25,303.95,301.51,125035
88,09/05/2019,301.0,296.1,298.25,299.3,297.6,299.03,91232
89,10/05/2019,310.75,292.45,299.3,308.05,301.8,303.16,340871
90,13/05/2019,314.2,305.3,308.05,306.9,310.0,310.31,215347
91,14/05/2019,316.75,305.1,306.9,314.65,307.85,310.56,175034
92,15/05/2019,317.9,311.0,314.65,312.1,316.2,314.87,181665
93,16/05/2019,317.1,309.55,312.1,315.75,312.5,312.43,135546
94,17/05/2019,321.95,313.45,315.75,319.25,315.65,316.78,157357
95,20/05/2019,345.8,331.0,319.25,344.7,332.0,340.61,376151
96,21/05/2019,347.55,336.25,344.7,337.55,345.9,340.45,215071
97,22/05/2019,342.6,333.55,337.55,341.1,338.9,337.36,213367
98,23/05/2019,364.0,339.2,341.1,342.2,353.0,353.76,419507
99,27/05/2019,362.5,354.0,355.35,361.7,355.05,359.78,178782
100,28/05/2019,361.7,356.65,361.7,360.05,360.95,359.28,192541
101,29/05/2019,359.0,347.15,360.05,348.65,358.0,350.64,245443
102,30/05/2019,355.0,347.5,348.65,353.55,349.75,351.39,162870
103,31/05/2019,357.9,344.65,353.55,352.5,354.35,352.59,207738
104,03/06/2019,356.45,349.65,352.5,355.45,352.35,352.68,138767
105,04/06/2019,357.2,351.4,355.45,352.4,354.0,354.08,153710
106,06/06/2019,349.6,335.9,352.4,336.9,349.0,342.86,273785
107,07/06/2019,342.75,336.0,336.9,342.05,337.0,339.42,177067
108,10/06/2019,347.3,340.15,342.05,344.3,346.0,343.46,133422
109,11/06/2019,348.3,342.85,344.3,347.1,345.05,345.6,110995
110,12/06/2019,346.95,342.3,347.1,344.0,346.95,344.09,87606
111,13/06/2019,347.45,339.8,344.0,346.5,343.0,343.63,101203
112,14/06/2019,346.35,342.55,346.5,343.8,345.5,344.46,78119
113,17/06/2019,343.75,336.95,343.8,337.85,343.75,340.23,88557
114,18/06/2019,344.0,333.8,337.85,340.05,335.5,338.95,143181
115,19/06/2019,345.2,335.5,340.05,338.85,343.1,340.29,111210
116,20/06/2019,346.25,335.6,338.85,345.15,341.0,340.31,149410
117,21/06/2019,350.7,343.15,345.15,349.4,344.8,348.05,153425
118,24/06/2019,354.75,349.65,349.4,353.2,350.0,352.41,140472
119,25/06/2019,357.0,351.25,353.2,356.55,352.7,354.17,108121
120,26/06/2019,359.0,354.3,356.55,358.15,355.75,357.07,120114
121,27/06/2019,363.0,357.25,358.15,362.15,358.1,360.79,168270
122,01/07/2019,363.0,358.5,361.25,361.55,362.8,360.59,86434
123,02/07/2019,365.0,360.35,361.55,364.5,362.15,362.7,132435
124,03/07/2019,366.7,363.0,364.5,366.15,365.25,365.23,100408
125,04/07/2019,370.9,366.2,366.15,367.4,367.25,368.93,152810
126,05/07/2019,373.6,366.0,367.4,370.65,369.45,369.99,188280
127,08/07/2019,368.45,353.5,370.65,355.3,368.0,357.82,224600
128,09/07/2019,360.0,352.5,355.3,359.5,353.5,357.38,114010
129,10/07/2019,361.5,351.3,359.5,354.2,360.55,355.21,151338
130,11/07/2019,364.0,357.0,354.2,363.2,358.5,360.31,133620
131,12/07/2019,366.55,361.5,363.2,363.6,363.0,363.8,129034
132,15/07/2019,365.0,357.6,363.6,360.05,364.1,359.93,109480
133,16/07/2019,366.0,357.65,360.05,364.35,358.5,363.92,135404
134,17/07/2019,373.55,363.05,364.35,372.4,364.05,368.61,145722
135,18/07/2019,373.8,362.55,372.4,363.65,371.95,368.06,168992
136,19/07/2019,366.05,355.15,363.65,356.0,365.1,358.73,164373
137,22/07/2019,359.55,348.7,356.0,350.85,356.0,353.24,169091
138,23/07/2019,353.0,341.0,350.85,342.2,351.2,346.05,205339
139,24/07/2019,344.7,336.25,342.2,339.6,341.85,340.65,166489
140,25/07/2019,343.2,337.4,339.6,341.3,341.7,340.48,155039
141,26/07/2019,346.15,340.5,341.3,342.6,340.8,343.39,119691
142,29/07/2019,346.55,336.8,342.6,343.8,343.95,341.7,162104
143,30/07/2019,346.7,325.85,343.8,327.55,344.4,335.32,192250
144,31/07/2019,333.2,323.9,327.55,332.2,325.1,328.94,197157
145,01/08/2019,331.5,311.35,332.2,317.15,330.8,319.67,243033
146,02/08/2019,322.25,307.05,317.15,308.45,315.55,314.7,421871
147,05/08/2019,302.85,291.7,308.45,300.25,298.45,297.37,375572
148,06/08/2019,304.25,297.25,300.25,301.4,298.8,301.27,230966
149,07/08/2019,302.45,288.8,301.4,289.9,302.4,295.8,232244
150,08/08/2019,295.5,285.6,289.9,294.35,290.0,290.32,251938
151,09/08/2019,298.0,290.05,294.35,291.35,296.3,294.37,176813
152,13/08/2019,291.55,282.5,291.35,283.35,290.9,287.06,187371
153,14/08/2019,291.25,284.5,283.35,289.75,285.05,288.44,161888
154,16/08/2019,292.8,284.3,289.75,290.9,287.95,288.71,152551
155,19/08/2019,292.4,286.0,290.9,286.85,292.0,288.64,168696
156,20/08/2019,287.4,280.65,286.85,283.7,287.3,283.06,163952
157,21/08/2019,285.6,276.3,283.7,277.4,285.5,280.52,179601
158,22/08/2019,278.3,267.3,277.4,268.55,278.3,272.68,171239
159,23/08/2019,275.25,262.7,268.55,271.1,267.1,269.82,225358
160,26/08/2019,288.0,270.0,271.1,280.2,288.0,277.11,387730
161,27/08/2019,288.0,282.6,280.2,285.7,284.0,285.13,323509
162,28/08/2019,286.65,282.2,285.7,284.9,286.65,284.45,128376
163,29/08/2019,284.3,273.3,284.9,274.5,283.2,277.91,196887
164,30/08/2019,277.95,266.85,274.5,273.85,275.95,271.74,320718
165,03/09/2019,272.0,266.95,273.85,268.4,272.0,268.86,174595
166,04/09/2019,275.85,267.25,268.4,275.1,269.7,272.73,173305
167,05/09/2019,276.35,271.05,275.1,273.3,275.0,273.54,152118
168,06/09/2019,277.0,272.1,273.3,273.95,275.05,274.82,135656
169,09/09/2019,278.7,271.0,273.95,278.0,273.95,276.53,136590
170,11/09/2019,285.85,278.5,278.0,285.25,278.5,283.25,180778
171,12/09/2019,288.8,284.15,285.25,287.05,286.75,287.03,160923
172,13/09/2019,292.5,282.0,287.05,291.7,285.0,286.52,177127
173,16/09/2019,290.45,283.8,291.7,284.7,288.2,286.9,168910
174,17/09/2019,286.45,273.0,284.7,273.95,285.0,279.87,179478
175,18/09/2019,282.95,274.4,273.95,280.4,277.2,279.19,184875
176,19/09/2019,279.95,273.05,280.4,274.05,279.95,276.25,305798
177,20/09/2019,307.65,268.4,274.05,301.7,274.5,291.6,458744
178,23/09/2019,316.0,300.4,301.7,313.75,307.55,309.38,343046
179,24/09/2019,315.15,300.8,313.75,302.6,313.15,306.89,295476
180,25/09/2019,297.5,278.7,302.6,280.25,297.0,286.26,445272
181,26/09/2019,289.9,277.0,280.25,281.85,281.5,283.31,422630
182,27/09/2019,286.05,280.0,281.85,281.2,282.7,282.62,283879
183,30/09/2019,281.85,270.15,281.2,270.8,281.4,273.33,274645
184,01/10/2019,275.5,245.55,270.8,255.95,272.75,261.16,512954
185,03/10/2019,260.7,250.1,255.95,254.15,254.0,254.98,414174
186,04/10/2019,260.5,248.55,254.15,249.95,258.5,254.5,433656
187,07/10/2019,253.4,246.85,249.95,249.1,251.5,250.25,286725
188,09/10/2019,262.0,244.35,249.1,260.95,250.1,253.67,419848
189,10/10/2019,258.0,252.6,260.95,254.15,258.0,254.67,235851
190,11/10/2019,261.4,251.5,254.15,254.55,256.2,256.05,269217
191,14/10/2019,259.4,254.0,254.55,255.45,256.95,257.29,179273
192,15/10/2019,259.9,254.8,255.45,258.45,256.45,257.06,158570
193,16/10/2019,261.95,255.0,258.45,256.05,259.3,258.26,208840
194,17/10/2019,266.0,255.6,256.05,265.45,256.4,261.38,252073
195,18/10/2019,271.35,263.2,265.45,269.65,264.4,268.5,203094
196,22/10/2019,275.0,268.5,269.65,270.5,270.4,272.33,187557
197,23/10/2019,277.8,268.65,270.5,275.45,270.75,274.85,209460
198,24/10/2019,277.65,248.65,275.45,262.5,276.0,266.02,434945
199,25/10/2019,284.15,263.55,262.5,281.55,265.8,276.42,598440
200,27/10/2019,284.95,280.25,281.55,281.8,284.95,282.94,98481
201,29/10/2019,285.0,278.55,281.8,280.65,283.15,282.21,272560
202,30/10/2019,291.0,279.25,280.65,289.9,283.0,286.86,306035
203,31/10/2019,317.8,292.75,289.9,312.4,293.35,307.08,656753
204,01/11/2019,315.0,308.6,312.4,313.55,312.4,312.59,306655
205,04/11/2019,319.0,312.35,313.55,314.3,316.0,315.6,222448
206,05/11/2019,322.0,312.8,314.3,319.2,313.9,318.8,324664
207,06/11/2019,318.95,314.0,319.2,317.55,318.95,316.95,201117
208,07/11/2019,323.3,316.8,317.55,318.15,318.25,319.56,232988
209,08/11/2019,321.0,314.5,318.15,316.0,316.2,317.47,175265
210,11/11/2019,319.65,313.1,316.0,318.25,314.7,316.64,173967
211,13/11/2019,318.6,305.65,318.25,306.8,316.05,312.08,243915
212,14/11/2019,309.5,299.7,306.8,306.0,306.95,304.73,230195
213,15/11/2019,323.7,310.05,306.0,321.9,312.0,318.93,508263
214,18/11/2019,329.85,323.75,321.9,325.1,324.0,326.69,266937
215,19/11/2019,331.8,322.1,325.1,330.4,325.8,327.4,225870
216,20/11/2019,332.5,325.1,330.4,328.8,332.0,328.72,169277
217,21/11/2019,332.85,326.55,328.8,331.35,329.25,330.65,220874
218,22/11/2019,333.8,328.25,331.35,329.3,331.45,330.33,142825
219,25/11/2019,337.5,328.35,329.3,336.1,329.0,333.83,174615
220,26/11/2019,340.0,332.6,336.1,335.5,338.0,337.0,206190
221,27/11/2019,345.55,334.05,335.5,343.55,335.95,338.92,208212
222,28/11/2019,351.0,344.5,343.55,349.3,346.85,348.23,266107
223,29/11/2019,348.85,340.6,349.3,341.85,348.85,344.22,182304
224,02/12/2019,344.35,336.2,341.85,338.5,343.9,339.3,142680
225,03/12/2019,342.95,333.35,338.5,336.25,341.0,337.9,180722
226,04/12/2019,342.95,331.85,336.25,341.85,334.1,337.83,187289
227,05/12/2019,344.6,335.15,341.85,336.2,343.0,338.88,217025
228,06/12/2019,337.65,318.0,336.2,320.0,336.7,325.07,399338
229,09/12/2019,327.65,314.75,320.0,316.7,318.95,320.65,346470
230,10/12/2019,322.65,312.25,316.7,313.4,317.2,317.56,304771
231,11/12/2019,315.75,308.0,313.4,312.8,311.2,312.23,303209
232,12/12/2019,322.95,313.55,312.8,321.85,314.0,317.89,234427
233,13/12/2019,333.45,325.0,321.85,332.55,325.2,329.84,252185
234,16/12/2019,337.25,330.8,332.55,331.85,335.95,333.33,245635
235,17/12/2019,335.75,330.65,331.85,332.9,333.25,333.79,184237
236,18/12/2019,335.55,325.8,332.9,326.95,335.0,328.8,196530
237,19/12/2019,329.6,324.5,326.95,328.15,327.35,327.19,171554
238,20/12/2019,339.5,330.35,328.15,337.85,330.35,336.38,320799
239,23/12/2019,338.85,330.35,337.85,332.4,335.7,334.27,176514
240,24/12/2019,334.2,329.2,332.4,331.45,333.2,331.35,134272
241,26/12/2019,333.45,328.1,331.45,329.85,333.0,330.09,139034
242,27/12/2019,338.35,333.0,329.85,337.25,333.4,336.68,209260
243,30/12/2019,337.85,332.5,337.25,334.4,337.75,334.47,133458
244,31/12/2019,336.35,332.55,334.4,333.75,334.4,334.36,145537
245,01/01/2020,335.95,332.15,333.75,334.45,334.7,334.03,99108
